91,67,31,81,52,68,61,9,82,60,52,51,50,30,11,16,74,71,79,54,67,64,0,36,79,51,6,71,38,57,69,48,61,8,64,44,20,75,49,54,57,
65,37,21,44,16,36,25,39,49,43,55,15,36,60,33,32,43,44,53,18,51,30,36,0,48,20,35,36,8,22,33,27,25,28,28,9,34,50,14,32,29,
83,62,50,29,37,55,42,77,59,81,63,42,78,107,71,67,60,13,75,33,33,50,79,48,0,54,81,49,53,26,37,33,44,71,42,48,82,77,33,68,61,
44,17,42,38,17,17,14,56,31,28,76,12,24,67,51,51,23,55,32,21,66,13,51,20,54,0,48,20,14,29,23,44,12,44,16,11,41,30,24,15,9,
86,62,34,80,51,65,58,16,79,54,58,49,44,27,17,22,70,73,74,53,71,61,6,35,81,48,0,68,35,57,67,50,58,10,61,41,13,70,49,49,52,
35,14,56,24,23,6,12,75,13,38,88,21,39,87,69,68,11,55,26,25,71,7,71,36,49,20,68,0,33,31,12,53,11,63,9,27,61,28,31,27,20,
58,31,29,45,17,31,23,42,45,35,63,14,28,57,37,37,37,51,46,21,59,26,38,8,53,14,35,33,0,27,32,35,23,30,26,6,31,43,20,24,22,
66,40,32,26,12,35,20,57,44,57,58,17,52,82,51,48,42,26,56,8,40,29,57,22,26,29,57,31,27,0,21,22,22,48,21,21,57,56,7,44,38,
47,25,50,14,17,18,9,72,23,47,79,18,46,89,66,64,23,43,38,17,60,13,69,33,37,23,67,12,32,21,0,43,10,61,7,25,63,40,23,35,27,
86,59,17,47,30,55,41,44,66,70,35,33,63,77,38,34,62,23,75,27,24,49,48,27,33,44,50,53,35,22,43,0,42,40,43,33,55,74,21,58,54,
44,18,45,25,12,13,2,64,24,37,77,10,36,79,58,57,20,47,33,15,62,6,61,25,44,12,58,11,23,22,10,42,0,53,3,17,53,33,21,25,18,
85,60,23,72,44,61,53,12,75,55,49,43,45,37,9,13,67,63,73,46,61,56,8,28,71,44,10,63,30,48,61,40,53,0,56,36,20,69,41,48,50,
44,20,47,21,13,13,3,67,23,40,78,13,39,83,61,60,20,46,34,15,62,8,64,28,42,16,61,9,26,21,7,43,3,56,0,20,56,35,22,28,21,
55,28,31,38,11,26,17,47,40,37,64,7,31,64,41,41,33,46,43,15,56,21,44,9,48,11,41,27,6,21,25,33,17,36,20,0,38,41,15,24,21,
75,54,41,76,49,57,53,29,71,42,69,45,32,26,29,33,62,77,64,52,78,54,20,34,82,41,13,61,31,57,63,55,53,20,56,38,0,58,49,39,44,
16,15,72,52,44,22,35,81,24,19,106,40,27,81,77,79,17,81,6,48,95,27,75,50,77,30,70,28,43,56,40,74,33,69,35,41,58,0,53,20,20,
65,38,26,32,8,34,19,50,45,52,56,12,46,75,44,42,41,31,54,6,42,27,49,14,33,24,49,31,20,7,23,21,21,41,22,15,49,53,0,39,33,
37,15,53,50,32,21,27,61,33,13,87,27,11,63,57,58,24,70,25,36,81,22,54,32,68,15,49,27,24,44,35,58,25,48,28,24,39,20,39,0,7,
35,10,51,42,26,14,19,63,27,19,85,21,19,69,58,59,18,64,23,30,76,14,57,29,61,9,52,20,22,38,27,54,18,50,21,21,44,20,33,7,0,
